From	To
/howto/mobile/	/refguide/mobile/
/howto/mobile/get-started/	/refguide/mobile/getting-started-with-mobile/
/howto/mobile/getting-started-with-native-mobile/	/refguide/mobile/getting-started-with-mobile/
/refguide/getting-the-make-it-native-app/	/refguide/mobile/getting-started-with-mobile/getting-the-make-it-native-app/
/howto/mobile/common-issues/	/refguide/mobile/getting-started-with-mobile/getting-the-make-it-native-app/
/refguide/native-mobile/	/refguide/mobile/introduction-to-mobile-technologies/native-mobile/
/howto/mobile/native-mobile/	/refguide/mobile/introduction-to-mobile-technologies/native-mobile/
/refguide/progressive-web-app/	/refguide/mobile/introduction-to-mobile-technologies/progressive-web-app/
/refguide/hybrid-mobile/	/refguide/mobile/introduction-to-mobile-technologies/hybrid-mobile/
/howto/mobile/hybrid-mobile/	/refguide/mobile/introduction-to-mobile-technologies/hybrid-mobile/
/howto/mobile/build-hybrid-apps/	/refguide/mobile/introduction-to-mobile-technologies/hybrid-mobile/
/howto/mobile/setting-up-hybrid-push-notifications/	/refguide/mobile/introduction-to-mobile-technologies/hybrid-mobile/
/howto/mobile/push-notifications/	/refguide/mobile/introduction-to-mobile-technologies/hybrid-mobile/
/howto/mobile/ui-best-practices/	/refguide/mobile/designing-mobile-user-interfaces/design-principles/
/refguide/native-navigation/	/refguide/mobile/designing-mobile-user-interfaces/navigation/
/refguide/native-svg/	/refguide/mobile/designing-mobile-user-interfaces/images-icons-and-fonts/
/howto/mobile/native-custom-fonts/	/refguide/mobile/designing-mobile-user-interfaces/images-icons-and-fonts/
/refguide/native-styling-refguide/	/refguide/mobile/designing-mobile-user-interfaces/native-styling/
/howto/mobile/native-styling/	/refguide/mobile/designing-mobile-user-interfaces/native-styling/
/howto/mobile/how-to-use-native-styling/	/refguide/mobile/designing-mobile-user-interfaces/native-styling/
/howto/mobile/implementation/	/refguide/mobile/using-mobile-capabilities/
/refguide/offline-first/	/refguide/mobile/using-mobile-capabilities/offlinefirst-data/
/howto/mobile/native-deep-link/	/refguide/mobile/using-mobile-capabilities/deep-links/
/howto/mobile/how-to-maps/	/refguide/mobile/using-mobile-capabilities/location-&-maps/
/howto/mobile/local-notif-parent/	/refguide/mobile/using-mobile-capabilities/local-notifications/
/howto/mobile/native-local-notifications/	/refguide/mobile/using-mobile-capabilities/local-notifications/
/howto/mobile/local-notif-badges/	/refguide/mobile/using-mobile-capabilities/local-notifications/
/howto/mobile/local-notif-action/	/refguide/mobile/using-mobile-capabilities/local-notifications/
/howto/mobile/local-notif-data/	/refguide/mobile/using-mobile-capabilities/local-notifications/
/howto/mobile/local-notif-schedule-cancel/	/refguide/mobile/using-mobile-capabilities/local-notifications/
/howto/mobile/notifications/	/refguide/mobile/using-mobile-capabilities/push-notifications/
/howto/mobile/notif-add-module-depends/	/refguide/mobile/using-mobile-capabilities/push-notifications/
/howto/mobile/notif-implement-module/	/refguide/mobile/using-mobile-capabilities/push-notifications/
/howto/mobile/setting-up-google-firebase-cloud-messaging-server/	/refguide/mobile/using-mobile-capabilities/push-notifications/
/howto/mobile/notif-config-push/	/refguide/mobile/using-mobile-capabilities/push-notifications/
/howto/mobile/notif-implement-native/	/refguide/mobile/using-mobile-capabilities/push-notifications/
/howto/mobile/notif-build-native/	/refguide/mobile/using-mobile-capabilities/push-notifications/
/howto/mobile/notif-send-test/	/refguide/mobile/using-mobile-capabilities/push-notifications/
/howto/mobile/notif-mult-devices/	/refguide/mobile/using-mobile-capabilities/push-notifications/
/refguide/ar-widgets/	/refguide/mobile/using-mobile-capabilities/augmented-reality/
/howto/mobile/ar-parent/	/refguide/mobile/using-mobile-capabilities/augmented-reality/
/howto/mobile/how-to-ar-business-card/	/refguide/mobile/using-mobile-capabilities/augmented-reality/
/howto/mobile/how-to-ar-simple-cube/	/refguide/mobile/using-mobile-capabilities/augmented-reality/
/howto/mobile/distribution/	/refguide/mobile/distributing-mobile-apps/
/refguide/native-template/	/refguide/mobile/distributing-mobile-apps/building-native-apps/
/howto/mobile/build-native-apps/	/refguide/mobile/distributing-mobile-apps/building-native-apps/
/howto/mobile/deploying-native-app/	/refguide/mobile/distributing-mobile-apps/building-native-apps/
/howto/mobile/native-build-locally-manually/	/refguide/mobile/distributing-mobile-apps/building-native-apps/
/howto/mobile/native-build-locally/	/refguide/mobile/distributing-mobile-apps/building-native-apps/
/howto/mobile/native-debug/	/refguide/mobile/distributing-mobile-apps/building-native-apps/
/howto/mobile/how-to-devapps/	/refguide/mobile/distributing-mobile-apps/building-native-apps/
/refguide/managing-app-signing-keys/	/refguide/mobile/distributing-mobile-apps/distributing-native-apps/
/howto/mobile/how-to-ota/	/refguide/mobile/distributing-mobile-apps/overtheair-updates/
/howto/mobile/how-to-ota-appcenter/	/refguide/mobile/distributing-mobile-apps/overtheair-updates/
/howto/mobile/testing-mendix-native-apps-using-appium/	/refguide/mobile/distributing-mobile-apps/testing-mobile-apps/
